,"Давление насыщенных паров, зимний период, кПа",DateTime
0,49.8,2022-01-01 11:21:00
1,52.3,2022-01-02 10:50:00
2,50.7,2022-01-03 10:24:48
3,52.6,2022-01-04 11:12:49
4,54.7,2022-01-05 10:23:28
5,53.8,2022-01-06 11:19:20
6,54.4,2022-01-07 10:22:17
7,55.5,2022-01-08 10:26:39
8,55.5,2022-01-09 10:40:28
9,56.2,2022-01-10 10:35:49
10,56.1,2022-01-11 10:23:39
11,59.2,2022-01-12 10:25:57
12,58.9,2022-01-13 10:49:13
13,58.8,2022-01-14 10:37:51
14,54.6,2022-01-15 10:19:16
15,59.3,2022-01-16 10:44:31
16,57.8,2022-01-17 11:13:24
17,54.9,2022-01-18 11:37:25
18,58.3,2022-01-19 10:29:11
19,56.4,2022-01-20 10:31:36
20,50.8,2022-01-21 10:42:24
21,56.6,2022-01-22 10:17:32
22,54.0,2022-01-23 10:50:50
23,60.0,2022-01-24 10:38:50
24,61.4,2022-01-25 11:25:50
25,58.7,2022-01-26 11:29:39
26,58.7,2022-01-27 11:00:32
27,57.8,2022-01-28 11:06:17
28,58.8,2022-01-29 10:44:31
29,56.5,2022-01-30 10:25:40
30,58.5,2022-01-31 10:13:28
31,59.1,2022-02-01 10:54:09
32,57.2,2022-02-02 10:40:26
33,58.4,2022-02-03 11:18:25
34,57.6,2022-02-04 10:39:10
35,60.3,2022-02-05 10:34:27
36,58.7,2022-02-06 11:44:50
37,57.2,2022-02-08 10:52:28
38,58.8,2022-02-10 11:11:11
39,57.8,2022-02-15 10:59:31
40,54.9,2022-02-17 10:40:16
41,61.5,2022-02-22 11:43:54
42,60.3,2022-02-24 10:20:57
43,60.2,2022-03-01 10:32:04
44,56.3,2022-03-03 10:57:00
45,58.3,2022-03-08 11:22:15
46,63.5,2022-03-10 10:39:45
47,64.1,2022-03-15 11:18:50
48,61.3,2022-03-17 10:32:22
49,68.2,2022-03-22 10:20:48
50,63.1,2022-03-24 10:48:02
51,57.2,2022-03-29 13:05:39
52,57.5,2022-03-29 15:49:25
53,55.9,2022-03-29 15:49:47
54,51.6,2022-03-29 20:13:01
55,56.3,2022-03-29 20:13:17
56,54.8,2022-03-30 14:46:06
57,53.2,2022-03-30 14:46:25
58,53.0,2022-03-31 10:22:57
59,56.2,2022-04-02 13:01:52
60,53.0,2022-04-05 10:35:33
61,54.1,2022-04-07 11:18:09
62,54.6,2022-04-12 10:41:21
63,49.0,2022-04-14 09:56:33
174,61.4,2022-10-18 10:47:05
175,57.9,2022-10-20 10:46:49
176,57.9,2022-10-25 10:41:51
177,59.7,2022-10-27 10:33:00
178,58.3,2022-11-01 10:42:17
179,57.9,2022-11-03 11:28:45
180,58.4,2022-11-08 10:12:03
181,59.1,2022-11-10 10:52:56
182,61.1,2022-11-15 11:12:55
183,59.8,2022-11-17 10:46:50
184,60.3,2022-11-22 10:30:14
185,61.0,2022-11-24 10:39:19
186,60.0,2022-11-29 10:11:22
187,59.7,2022-12-01 10:56:50
188,60.3,2022-12-06 10:07:02
189,59.3,2022-12-08 10:15:59
190,59.1,2022-12-13 12:02:25
191,56.6,2022-12-15 10:11:11
192,57.5,2022-12-20 11:39:42
193,62.0,2022-12-22 11:01:25
194,58.5,2022-12-27 10:22:41
195,63.4,2022-12-29 10:08:20
196,63.9,2023-01-03 10:59:08
197,58.8,2023-01-05 10:38:54
198,56.2,2023-01-10 11:17:32
199,58.0,2023-01-12 10:11:14
200,55.7,2023-01-17 10:43:13
201,56.3,2023-01-19 11:08:42
202,56.9,2023-01-24 11:17:32
203,57.2,2023-01-26 10:14:24
204,57.7,2023-01-31 10:22:50
205,55.0,2023-02-02 11:02:32
206,54.6,2023-02-07 10:54:14
207,56.2,2023-02-09 10:36:48
208,54.3,2023-02-14 10:47:31
209,55.0,2023-02-16 11:17:37
210,51.4,2023-02-21 11:27:52
211,52.6,2023-02-23 11:18:06
212,52.2,2023-02-28 11:06:02
213,51.0,2023-03-02 10:22:35
214,51.6,2023-03-07 10:30:28
215,51.5,2023-03-09 11:31:31
216,51.3,2023-03-14 11:05:27
217,53.0,2023-03-16 11:07:08
218,45.2,2023-03-21 10:11:19
219,50.8,2023-03-23 10:15:39
220,51.6,2023-03-28 11:01:11
221,52.8,2023-03-30 10:18:31
222,50.9,2023-04-04 10:57:59
223,51.7,2023-04-06 10:10:18
224,56.2,2023-04-11 10:17:46
277,58.0,2023-10-17 11:00:50
278,59.7,2023-10-19 10:27:08
279,58.9,2023-10-24 10:24:41
280,57.9,2023-10-26 11:47:03
281,61.7,2023-10-31 11:30:01
282,61.9,2023-11-02 10:18:57
283,59.7,2023-11-07 10:20:41
284,59.9,2023-11-09 10:15:39
285,60.7,2023-11-14 10:57:05
286,58.5,2023-11-16 10:06:14
287,60.5,2023-11-21 10:31:46
288,58.6,2023-11-23 11:28:04
289,58.7,2023-11-28 10:21:01
290,63.5,2023-11-30 09:37:44
291,59.3,2023-12-05 11:30:47
292,57.4,2023-12-07 10:21:11
307,56.9,2024-01-30 11:27:17
308,60.7,2024-02-01 11:17:48
309,57.4,2024-02-06 11:46:26
