,"Конец кипения легкого бензина, град.С",DateTime
0,78.4,2022-01-04 11:12:44
1,97.7,2022-01-06 11:19:15
2,89.6,2022-01-11 10:21:57
3,76.2,2022-01-13 10:49:01
4,88.8,2022-01-18 12:08:29
5,78.1,2022-01-20 10:30:25
6,82.7,2022-01-25 12:00:53
7,77.6,2022-01-27 11:00:28
8,79.5,2022-02-01 10:54:00
9,77.1,2022-02-03 11:18:09
10,83.5,2022-02-10 11:11:19
11,81.1,2022-02-17 10:40:07
12,73.9,2022-02-24 10:21:21
13,84.9,2022-03-03 10:55:25
14,84.2,2022-03-10 10:46:25
15,81.4,2022-03-17 10:32:20
16,97.7,2022-03-24 12:33:02
17,95.3,2022-03-31 10:27:35
18,75.7,2022-04-07 11:07:33
19,82.5,2022-04-14 09:56:22
20,84.4,2022-04-21 12:19:57
21,87.2,2022-04-28 11:06:46
22,101.1,2022-05-05 11:17:52
23,87.0,2022-05-12 10:46:53
24,129.5,2022-05-19 11:14:36
25,94.7,2022-05-26 10:16:13
26,99.3,2022-06-02 10:00:30
27,98.3,2022-06-09 10:23:22
28,105.1,2022-06-16 11:00:02
29,95.6,2022-06-23 10:36:02
30,96.5,2022-06-30 10:12:31
31,92.5,2022-07-07 10:57:23
32,101.1,2022-07-14 10:40:14
33,94.5,2022-07-21 10:32:52
34,96.0,2022-07-28 10:16:03
35,113.9,2022-08-04 10:36:55
36,104.9,2022-08-11 10:50:25
37,96.0,2022-08-18 11:02:47
38,93.6,2022-08-25 10:39:49
39,86.0,2022-09-01 10:41:45
40,94.8,2022-09-08 11:09:37
41,78.2,2022-09-29 11:54:00
42,93.2,2022-10-06 11:46:59
43,93.8,2022-10-13 10:48:52
44,90.9,2022-10-20 10:46:57
45,89.5,2022-10-27 10:32:58
46,94.3,2022-11-03 11:45:38
47,91.1,2022-11-10 10:23:08
48,95.0,2022-11-17 10:29:01
49,91.9,2022-11-24 10:50:03
50,88.1,2022-12-01 10:56:43
51,86.2,2022-12-08 10:15:58
52,82.3,2022-12-15 10:58:25
53,89.3,2022-12-22 09:36:49
54,77.9,2022-12-29 10:25:48
55,83.5,2023-01-05 11:26:27
56,83.5,2023-01-12 10:32:18
57,94.9,2023-01-19 10:45:10
58,89.3,2023-01-26 10:14:10
59,75.2,2023-02-02 10:59:51
60,82.8,2023-02-09 10:37:14
61,97.8,2023-02-16 11:17:31
62,82.3,2023-02-23 12:05:02
63,83.1,2023-03-02 11:23:37
64,90.6,2023-03-09 11:09:57
65,80.4,2023-03-16 10:43:21
66,80.3,2023-03-23 10:38:21
67,79.3,2023-03-30 10:32:51
68,85.0,2023-04-06 10:10:37
69,88.7,2023-05-04 15:35:20
70,75.7,2023-05-11 10:14:28
71,86.1,2023-05-18 12:07:12
72,88.1,2023-05-25 11:04:35
73,97.7,2023-06-01 10:55:34
74,97.8,2023-06-08 10:45:01
75,78.3,2023-06-15 10:59:46
76,80.2,2023-06-22 10:33:13
77,90.2,2023-06-29 08:58:03
78,81.4,2023-07-06 11:13:04
79,74.1,2023-07-13 11:37:32
80,81.8,2023-07-20 10:28:08
81,85.3,2023-07-27 11:35:25
82,85.6,2023-08-03 11:04:25
83,84.4,2023-08-10 11:04:25
84,84.6,2023-08-17 10:17:59
85,98.3,2023-08-24 10:11:59
86,105.4,2023-08-31 11:03:53
87,97.7,2023-09-07 11:45:33
88,96.9,2023-09-14 10:29:24
89,87.1,2023-09-21 11:22:34
90,82.5,2023-09-28 11:03:39
91,82.9,2023-10-05 11:34:50
92,98.0,2023-10-12 10:10:53
93,85.6,2023-10-19 10:39:03
94,91.2,2023-10-26 11:27:25
95,94.2,2023-11-02 11:06:19
96,93.1,2023-11-09 10:15:41
97,80.8,2023-11-10 12:07:19
98,90.4,2023-11-16 10:06:13
99,81.6,2023-11-23 11:04:53
100,74.0,2023-11-30 09:37:32
101,84.9,2023-12-07 10:21:21
102,100.4,2023-12-14 10:11:18
103,84.6,2023-12-21 12:33:50
104,92.3,2023-12-28 10:20:07
105,88.7,2024-01-04 10:18:36
106,84.1,2024-01-11 10:18:36
107,85.3,2024-01-18 10:54:41
108,105.7,2024-01-25 11:04:58
109,80.2,2024-02-01 11:02:44
