,"Содержание олефинов, %об. БДС",DateTime
0,23.2,2022-01-02 10:50:00
1,28.2,2022-01-03 10:24:48
2,20.3,2022-01-05 10:23:28
3,17.6,2022-01-07 10:22:17
4,21.4,2022-01-09 10:40:28
5,24.9,2022-01-10 10:35:49
6,27.0,2022-01-12 10:25:57
7,22.1,2022-01-14 10:37:51
8,26.5,2022-01-16 10:44:31
9,21.8,2022-01-17 11:13:24
10,23.3,2022-01-19 10:29:11
11,22.2,2022-01-21 10:42:24
12,22.9,2022-01-23 10:50:50
13,29.5,2022-01-24 10:38:50
14,25.2,2022-01-26 11:29:39
15,26.5,2022-01-28 11:06:17
16,25.7,2022-01-30 10:25:40
17,26.7,2022-01-31 10:13:28
18,33.3,2022-02-02 10:40:26
19,34.1,2022-02-04 10:39:10
20,27.0,2022-02-06 11:45:18
21,28.0,2022-02-07 10:49:49
22,32.8,2022-02-11 10:01:08
23,33.4,2022-02-14 11:03:42
24,28.2,2022-02-18 11:15:57
25,28.9,2022-02-21 10:17:37
26,29.9,2022-02-25 10:23:52
27,30.6,2022-02-28 10:07:57
28,31.8,2022-03-04 10:28:16
29,32.4,2022-03-07 10:20:00
30,25.0,2022-03-11 10:40:58
31,25.7,2022-03-14 10:48:06
32,31.8,2022-03-18 11:25:09
33,32.3,2022-03-21 10:41:29
34,33.5,2022-03-25 11:04:53
35,33.8,2022-03-28 10:45:29
36,33.6,2022-04-01 10:27:02
37,28.3,2022-04-04 10:39:43
38,27.5,2022-04-08 10:16:31
39,29.7,2022-04-11 10:42:02
40,27.4,2022-04-15 10:33:11
41,30.0,2022-04-18 10:38:23
42,31.3,2022-04-22 11:16:33
43,31.9,2022-04-25 10:50:36
44,30.1,2022-04-29 10:07:46
45,30.6,2022-05-02 10:43:16
46,29.8,2022-05-06 10:52:25
47,29.5,2022-05-09 10:24:41
48,29.9,2022-05-13 11:07:35
49,27.7,2022-05-16 11:07:42
50,32.0,2022-05-20 10:44:58
51,31.0,2022-05-23 10:45:34
52,29.5,2022-05-27 11:14:16
53,31.4,2022-05-30 10:23:47
54,30.0,2022-06-03 10:40:05
55,30.3,2022-06-06 11:00:54
56,30.3,2022-06-10 11:00:18
57,31.2,2022-06-13 10:47:23
58,32.6,2022-06-17 10:21:27
59,32.4,2022-06-20 11:00:11
60,33.5,2022-06-24 11:05:08
61,34.5,2022-06-27 10:26:04
62,33.2,2022-07-01 10:29:53
63,34.6,2022-07-04 10:13:24
64,34.5,2022-07-08 10:48:12
65,32.4,2022-07-11 10:31:28
66,33.1,2022-07-15 10:16:14
67,34.2,2022-07-18 10:14:43
